speaker,party,year,night,timestamp,text,word_count,source_file,source
Alicia Lopez,Republican,2024,3,,"I'm Alicia Lopez. And this is my husband, Herman. Our son, Corporal Hunter Lopez, who's name Joe Biden has refused to say out loud, was killed on August 26th, 2021. He died during Joe Biden's disastrous withdrawal from Afghanistan. Hunter was 22-years-old, and planned to come home to California after his tour, to follow in our footsteps. Herman and I work for the Riverside County Sheriff's Office. And our family has a tradition of service in law enforcement. Hunter was excited to carry it on. Instead, in the nearly three years since Hunter has been gone, there has been silence. Silence from that empty space at the dinner table, where Hunter would have joined his brothers, and sister, and us, for family gatherings. And there has been a deafening silence, from the Biden and Harris administration. Despite our pleas for answers and accountability, they have pushed us away, and tried to silence us. The Biden administration has not owned up to the bad decisions. They have not been transparent about their failures. And their so-called leaders work to protect themselves, rather than our sons and daughters who took the oath to defend our country. Thank you. When Hunter and the other servicemembers' bodies were returned to the U.S., in Dover, Delaware, Joe Biden met the plane. But he made the occasion more about his son, lost to cancer than our sons and daughters lost on his watch. Worse than that, he has never said their names out loud. And during -- and during last month's debate, he claimed no servicemembers have died during his administration. None. That hurt us all deeply. So, Alicia and I are here to say the names of all 13 servicemembers, who lost their lives. All 13 servicemembers that lost their lives at Abbey Gate. David Espinosa. Nicole Gee. Taylor Hoover. Ryan C. Knauss. Rylee McCollum. Dylan Merola. Kareem Nikoui. Daegan Page. Johanny Pichardo. Humberto Sanchez. Jared Schmitz. Maxton Soviak. And my son, Hunter Lopez. Thank you. Joe Biden has to go. He failed the American people. He failed the Afghan people, and our military servicemembers. He failed our family. And he failed Hunter. Donald Trump has a proven record of keeping the peace, and honoring those in uniform. All of us, on this stage, recognize the efforts of Mr. Trump. We know this firsthand. We've experienced it. Whenever we've met with him, he has demonstrated compassion. He has joined us on our mission for answers. And he has given hope for extended Gold Star Family. Now, we have another son, serving in the army. And we do not trust Joe Biden with his life. We have faith that Donald Trump, to lead our military. Please join us in supporting Donald Trump for President and Commander-in-Chief.",460,a_lopez_cnn_rnc_2024_night_3.txt,CNN
Amanda Zurawski,Democratic,2024,1,,"Today, because of Donald Trump, more than one in three women of reproductive age in America lives under an abortion ban. A second Trump term would rip away even more of our rights, passing a national abortion ban, letting states monitor pregnancies and prosecute doctors, restricting birth control and fertility treatments. We cannot let that happen. We need to vote as if lives depend on it, because they do.",69,a_zurwaski_cnn_dnc_2024_night_1.txt,CNN
Abbey Clements,Democratic,2024,4,,"On December 14, 2012, I walked into Sandy Hook School. I stopped at the office, chatted with my principal, then started my day with my second graders. Suddenly, a loud crash, like metal folding chairs falling, one hundred fifty four gunshots blaring. Hiding in the coats, trying to sing with my students, trying to read to them, trying to drown out the sounds, terror, crying, running, I carry that horrific day with me. Twenty beautiful first grade children and six of my beautiful colleagues were killed. They should still be here. KIMBERLY MATA-RUBIO,",93,abbey_clements_cnn_dnc_2024_night_4.txt,CNN
Adam Kinzinger,Democratic,2024,4,,"I was just a kid when I was drawn to the party of Ronald Reagan, to his vision of a strong America, the shining city on a hill. I was a Republican for 12 years in Congress, and I still hold on to the label. I never thought I'd be here. But, listen, you never thought you would see me here, did you? But I've learned something about the Democratic Party, and I want to let my fellow Republicans in on the secret, the Democrats are as patriotic as us. They love this country just as much as we do. And they are as eager to defend American values at home and abroad as we conservatives have ever been. I was relieved to discover that because I have learned something about my party, too. Something I couldn't ignore. The Republican Party is no longer conservative. It has switched its allegiance from the principles that gave it purpose to a man whose only purpose is himself. Donald Trump is a weak man pretending to be strong. He is a small man pretending to be big. He is a faithless man pretending to be righteous. He's a perpetrator who can't stop playing the victim. He puts on -- listen, he puts on quite a show, but there is no real strength there. As a conservative and a veteran, I believe true strength lies in defending the vulnerable. It's in protecting your family. It's in standing up for our Constitution and our democracy. That, that is the soul of being a conservative. It used to be the soul of being a Republican. But Donald Trump has suffocated the soul of the Republican Party. His fundamental weakness has coursed through my party like an illness, sapping our strength, softening our spine, whipping us into a fever that has untethered us from our values. Our democracy was frayed by the events of January 6th as Donald Trump's deceit and dishonor led to a siege on the United States capital. That day I stood witness to a profound sorrow, the desecration of our sacred tradition, a peaceful transition of power, tarnished by a man too fragile, too vain, in two week to accept defeat. How can a party claim to be patriotic if it idolizes a man who tried to overthrow a free and fair election? How can a party claim to stand for liberty if it sees a fight for freedom in Ukraine, an attack on tyranny against democracy a challenge to everything our nation claims to be. And it retreats, it equivocates, it nominates a man who is weirdly obsessed with Putin. And his running mate who said, quote, ""I don't care what happens in Ukraine."" Yes, and he wants to be vice president. Yes. How could a party claim to be conservative when it tarnishes the gifts that what our forebearers fought for? Men like my grandfather who served in World War II, who believed in a cause bigger than himself and he risked his life for it behind enemy lines. To preserve American democracy, his generation found the courage to face down armies. Listen, all we're asked to do is to summon the courage to stand up to one weak man. Some have questioned why I have taken the stand I have. The answer is really simple, ladies and gentlemen. We must put country first. And tonight, as a Republican speaking before you, I am putting our country first. Because the fact is I do belong here. I know Kamala Harris shares my allegiance to the rule of law, the Constitution and democracy. And she is dedicated to upholding all three in service to our country. Whatever policies we disagree on pale in comparison with those fundamental matters of principle, of decency and a fidelity to this nation. Listen. To my fellow Republicans, if you still pledge allegiance to those principles, I suspect you belong here, too. Because democracy knows no party. It's a living, breathing ideal that defines us as a nation. It's the bedrock that separates us from tyranny. And when that foundation is fractured, we must all stand together united to strengthen it. If you think those principles are worth defending, then I urge you, make the right choice. Vote, vote for our bedrock values, and vote for Kamala Harris. God bless you.",724,adam_kinzinger_cnn_dnc_2024_night_4.txt,CNN
Annette Albright,Republican,2024,4,,"Like my parents and my grandparents, I was a lifelong member of the Democrat Party. Don't worry, the story gets better from here. After completing a degree in criminal justice, I started a career working with the North Carolina Department of Corrections. I left my job in the criminal justice system to work for Charlotte- Mecklenburg School District, to engage our youth before they got stuck in the system. It didn't take long for me to realize that public schools are a part of the problem. Sadly, too many of our schools are more like prisons than places of learning. That must change. In one public high school, I witnessed a full blown riot. I saw many violent altercations between students and physical attacks on staff. During my 14 years working with the Department of Public Safety, offenders never laid a hand on me, yet I was violently assaulted by a group of students in a public high school. The uptick in school violence was related to an Obama-Biden policy that directed schools to reduce suspension rates and keep dangerous students in the classroom. President Trump reversed the Obama policy and put the safety of our kids first. Violence on public school campuses should not be a Democrat issue, it should not be a Republican issue, it is an American people issue. Sadly, I've repeatedly seen that the Democrat Party cares more about appeasing the teachers union, that they do about prioritizing the needs of our kids. They champion safe spaces instead of safe schools. This is completely wrong. Little by little, I begin to see the truth. While Democrats spend more money on a broken system, Republicans are empowering parents and fighting for school choice. While Democrats think school resource officers are a threat to our students, Republicans know that they protect our kids.",305,albright_cnn_rnc_2024_night_4.txt,CNN
Alexandria Ocasio-Cortez,Democratic,2024,1,,"Thank you, Chicago, for your energy. Thank you, Kamala Harris and Tim Walz, for your vision. Thank you. Thank you, Chicago, for your energy. Thank you, Kamala Harris and Tim Walz, for your vision. And thank you, Joe Biden, for your leadership. You know, six years ago, I was taking omelet orders as a waitress in New York City. I didn't have health insurance. My family was fighting off foreclosure, and we were struggling with bills after my dad passed away unexpectedly from cancer. Like millions of Americans, we were just looking for an honest shake. And we were tired of a cynical politics that seemed blind to the realities of working people. It was then, only through the miracles of democracy and community, that the good people of the Bronx and Queens chose someone like me to elect them in Congress. And, America, in my heart, I know, from that same cloth of hope and aspiration, we will also elect Kamala Harris and Tim Walz as president and vice president of the United States of America. I am here tonight because America has before us a rare and precious opportunity. In Kamala Harris, we have a chance to elect a president who is for the middle class because she is from the middle class. She understands the urgency of rent checks and groceries and prescriptions. She is as committed to our reproductive and civil rights as she is to taking on corporate greed. And she is working tirelessly to secure a cease-fire in Gaza and bringing hostages home. In Kamala Harris I see a leader who understands. I see a leader with a real commitment to a better future for working families. And Chicago, we have to help her win. Because we know that Donald Trump would sell this country for a dollar if it meant lining his own pockets and greasing the palms of his Wall Street friends. And I, for one, am tired of hearing about how a two-bit union buster thinks of himself as more of a patriot than the woman who fights every single day to lift working people out from under the boots of greed, traveling on our way of life. The truth is, Don, you cannot love this country if you only fight for the wealthy and big business. To love this country is to fight for its people. All people, working people, every day Americans like bartenders and factory workers and fast-food cashiers who punch a clock and are on their feet all day in some of the toughest jobs out there. You know, ever since I got elected, Republicans have attacked me by saying that I should go back to bartending. But let me tell you, I'm happy to, any day of the week, because there is nothing wrong with working for a living. Imagine, imagine having leaders in the White House who understand that. Leaders like Kamala and Tim. But Chicago, just because the choice is clear to us does not mean that the path will be easy. Over the next 78 days, we will have to pour every ounce, every minute, every moment into making history on November 5th. But we cannot send Kamala and Tim to the White House alone. Together, we must also elect strong Democratic majorities in the House and in the Senate so that we can deliver on an ambitious agenda for the people. Because if you are a working parents trying to afford rent and childcare, Kamala is for you. If you are a senior who had to go back to work because your retirement didn't stretch far enough, Kamala is for you. If you're an immigrant family just starting your American story, Kamala is for you. America, when we knock on our neighbor's door, organize our communities, and elect Kamala Harris to the presidency on November 5th, we will send a loud message that the people of this nation will not go back. We choose a new path and open the door to a new day, one that is for the people and by the people. Thank you. Thank you very much. God bless. God bless you all. TONY GOLDWYN, ACTOR &",699,alexandria_ocasiocortez_cnn_dnc_2024_night_1.txt,CNN
Colin Allred,Democratic,2024,4,,"And I'm so proud to be here to support our next president, Kamala Harris. You know, like Kamala, I was raised by a single mom. Mom was a public school teacher who often worked two jobs to make ends meet. So when we talk about lowering costs, I think about the times when we went to the grocery store, when I was growing up and swiped the debit card and said a little prayer. But my mom and my community in Texas gave me a chance to chase my version of the American dream. I played football at Baylor and in the NFL before becoming a civil rights lawyer representing my hometown in Congress. Now I'm the guy who's going to turn Texas senate seat blue. You know, in the NFL, we had a term for guys like Donald Trump and my opponent, Ted Cruz. Me guys, you know, the type, talk a big game. Only care about themselves. But you don't want to be stuck with them at a barbecue. The truth is, America has never been about me. As President Obama said, the single most powerful word in our democracy is the word we. We, the people. We shall overcome. Yes, we can. And we've got a message for the me guys. We, is more powerful than me. We will protect restore reproductive freedom. We will secure the border. We will protect Medicare and Social Security, and we'll turn the page and write a new chapter for this country and let Kamala Harris be the next president and beat Ted Cruz. Thank you all so much. God bless you. And may God bless Texas.",276,allred_cnn_dnc_2024_night_4.txt,CNN
Angela Alsobrooks,Democratic,2024,2,,"She took the test, passed it, and got the job she dreamed of. I am her legacy. And tonight, I am a candidate for United States Senate from the great state of Maryland. I've always been inspired by women like my grandmother, women who imagine a better future, and then have the grit to make it a reality. One of those women is a friend, a mentor, and a role model. That woman is Kamala Harris. Let me tell you about the Kamala I've known for 14 years. I first heard about her in 2009 when I was running for state attorney in Prince George's County, Maryland. I read a story in Essence Magazine about a district attorney in San Francisco using new ideas to keep her community safe. Few had a better record prosecuting violent crime. She put rapists, child molesters, and murderers behind bars. But what she knew was that violent crime accounts for about 30 percent of all crimes, for the 70 percent that are nonviolent, she created a first-of-its-kind program called Back on Track. After serving time and pleading guilty, these low-level offenders would get the job training, GED help, and apprenticeships they needed to find a job. The result, the recidivism rate plummeted. Now after reading about this super bad district attorney, I talked non-stop about her on the campaign trail. Two days after I won the election, my phone rings. It's Kamala Harris calling to congratulate me and ask how she could help. She helped me bring Back on Track to Maryland. And wouldn't you know it, crime went down and economic growth went up. Back on Track is now a national model. Now, now Donald Trump says, if Kamala Harris is elected, tough guys will treat her like a play toy. Do you know who else thought that? The drug cartel she busted, the big oil company she made pay for polluting, the big banks that she made pay $20 billion to homeowners they ripped off. Getting justice for others isn't a power trip for her, it's a sacred calling. And hear me, Kamala Harris knows how to keep criminals off the streets. And come November, with your help, she'll keep one out of the Oval Office. Ever since Donald Trump rode down that ridiculous escalator, we, as a nation, have felt trapped. Every national decision has been made in reaction to this one man and his extremist MAGA movement. We are still frozen by the fear that Donald Trump might once again come to power. And it's not just our politics that have been trapped, it's our imagination. And then, Kamala came along. Kamala has reminded us that we don't need to fear anything, not the future, and certainly not that man. This is our moment to leave Donald Trump where he belongs -- in America's past. We stand with Kamala Harris because we, as a country, are not going back. For the ancestors who sat at lunch counters and made sure that we all had the right to vote, we are not going back. For the mamas and grandmamas who marched to make sure that women could control our own bodies, we are not going back. For the parents who work from can't see in the morning until can't see at night, not so that they will have a better future, but so that their children will have a better life, we are not going back. When facing an obstacle, my father has often said to me, your faith is stronger than your fears. Tonight, our faith is stronger than our fears. Faith in the promise of America, faith in the American idea, in the American values that we share, faith that we, the people, can choose a new leader, a better future for the people. Faith that as dark as our days and challenges have sometimes felt, it's always darkest before the dawn. We know that we can endure for a night because joy cometh in the morning. Morning is coming. Morning is coming. And that joy will be led by Kamala Harris. Thank you so much.",687,alsobrooks_cnn_dnc_2024_night_2.txt,CNN
Amanda Gorman,Democratic,2024,3,,"This is loud in our country's call because while we all love freedom, it is love that frees us all. Empathy emancipates, making us greater than hate or vanity. That is the American promise, powerful and pure. Divided, we cannot endure but united we can endeavor to humanize our democracy and endear democracy to humanity. And make no mistake, cohering is the hardest task history ever wrote. But tomorrow is not ridden by our odds of hardship but by the audacity of our hope, by the vitality of our vote. Only now approaching this rare air are we aware that, perhaps, the American dream is no dream at all but instead a dare to dream together. Like a million roots tethered, branching up humbly, making one tree, this is our country from many won, from battles won, our freedoms sung, our kingdom come has just begun. We redeem this sacred scene ready for our journey from it. Together, we must birth this early republic and achieve an unearthly summit. Let us not just believe in the American dream, let us be worthy of it.",184,amanda_gorman_cnn_dnc_2024_night_3.txt,CNN
Amy Klobuchar,Democratic,2024,3,,"I stand before you in support of our next Vice President Tim Walz. In Minnesota, we trust a coach who turned a team that was zero and 27 into state champions. In Minnesota, we trust a hunter who has stood in a deer stand in 10 degree weather. In Minnesota, we trust a candidate who has made a viral video on how to change a burnt out headlight. And I know we aren't alone. But in Minnesota, we love a dad in plaid. So Tim and I go way back. He taught high school, right down the road from where my husband John grew up. My mother-in-law even brought him and Gwen, a parmesan chicken dinner when their son was born. That's what we do in America. We look out for our neighbors. Tim has been doing that his whole life on the farm and in the factory with his students and his fellow service members. And the truth is that matters. Who better to take on the price of gas than a guy who could pull over to help change your tire? Who better to serve our nation than a guy who has served in uniform? Who better to find common ground than a guy with Midwestern common sense? A former football coach knows how to level the playing field and a former public school teacher knows how to school the likes of JD Vance. What you've done with your life matters. And what you do with power matters too. Tim has delivered paid leave, school lunches and the biggest tax cut in Minnesota history. A Democrat from a red district in a purple state, Tim has brought Minnesota together and together with Vice President Kamala Harris, I know he will do the same for our nation. America, there is so much that we share, so much that connects us way up north in Minnesota, out of Lake Itasca flows the Mississippi River. It starts small and it grows wider. It flows down to Wisconsin -- -- and to Iowa. It goes down to Illinois -- -- and to Missouri. It goes to Kentucky and Tennessee. It goes to Arkansas, and it goes way down to Mississippi, and then it goes all the way down to New Orleans, Louisiana, where the spirit of our nation's resilience abounds. So let us commit here and now to cross the river of our divides to get to a higher ground, and let us Join together to elect Kamala Harris and Tim Walz. -- where purple rains -- -- I stand before you in support of our next Vice President Tim Walz. In Minnesota, we trust a coach who turned a team that was zero and 27 into state champions. In Minnesota, we trust a hunter who has stood in a deer stand in 10 degree weather. In Minnesota, we trust a candidate who has made a viral video on how to change a burnt out headlight. And I know we aren't alone. But in Minnesota, we love a dad in plaid. So Tim and I go way back. He taught high school, right down the road from where my husband John grew up. My mother-in-law even brought him and Gwen, a parmesan chicken dinner when their son was born. That's what we do in America. We look out for our neighbors. Tim has been doing that his whole life on the farm and in the factory with his students and his fellow service members. And the truth is that matters. Who better to take on the price of gas than a guy who could pull over to help change your tire? Who better to serve our nation than a guy who has served in uniform? Who better to find common ground than a guy with Midwestern common sense? A former football coach knows how to level the playing field and a former public school teacher knows how to school the likes of JD Vance. What you've done with your life matters. And what you do with power matters too. Tim has delivered paid leave, school lunches and the biggest tax cut in Minnesota history. A Democrat from a red district in a purple state, Tim has brought Minnesota together and together with Vice President Kamala Harris, I know he will do the same for our nation. America, there is so much that we share, so much that connects us way up north in Minnesota, out of Lake Itasca flows the Mississippi River. It starts small and it grows wider. It flows down to Wisconsin -- -- and to Iowa. It goes down to Illinois -- -- and to Missouri. It goes to Kentucky and Tennessee. It goes to Arkansas, and it goes way down to Mississippi, and then it goes all the way down to New Orleans, Louisiana, where the spirit of our nation's resilience abounds. So let us commit here and now to cross the river of our divides to get to a higher ground, and let us Join together to elect Kamala Harris and Tim Walz.",846,amy_klobuchar_cnn_dnc_2024_night_3.txt,CNN
