speaker,party,year,night,timestamp,speech,word_count,source,source_file,replaced_from_rev,replaced_from_cnn,appended_from_missing
Minyon Moore,Democratic,2024,1,00:00:31,"Hello, everyone! I am the permanent chair of The Democratic National Committee. It is a pleasure to welcome you all to my hometown, Chicago. This convention is a celebration of our hard work and accomplishments and of the American spirit that makes this party and our country great. That is the spirit President Biden reignited when he told us we were in the battle for the soul of our nation. Throughout his term, he has brought us together and revive our country and our country's soul. And last month, in a true act of patriotism, he passed the torch to the next generation as the next President Of The United States, Kamala Harris! As convention chair I may appoint officers to assist in the conduct -- it is my honor to announce the following convention officers. Assisting as cochairs are Lieutenant Governor Peggy Flanagan, Mayor Mitch Andrews, Senator Cory Booker, and Congresswoman Vanessa Escobar. Our convention parliamentarians will be former house majority whip hoyer, Rodrick Johnson, and DNC Parliamentarian helen mcfadden. Lieutenant Governor Garlin Gilchrist, Harris County judge Lena Head doll go -- Lena Hidalgo and Congressman Ted lieu will serve as sergeant of arms. Lewis terrel will serve as our bookkeeper and Barbara Lee will serve as our timekeeper. I would now like to turn it over to my friend, Chairman Harris.",223,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Jaime Harrison,Democratic,2024,1,00:03:04,"Thank you! Hello, Democrats! The Democratic Party is 196 years old. It is the oldest active political party in the world. Every person here is a part of a movement that brings America closer to our goal of a more perfect union. And every convention is a moment, moment that contributes -- it is moments like 60 years ago when they told a shocking story about a razor's brutality she suffered simply for registering to vote. 452 years ago when Shirley Chisholm went for the presidential nomination. Or 40 years ago when a boy from South Carolina this save -- the same you have here today -- folks, all of these moments lead up to this transformational moment. When a black convention chair and a black DNC chair lead us in nominating a black and aarp woman to be the next President Of The United States! Folks, this is because The Democratic Party is and always will be for the people for our future. We are honored to be a part of American history as we gavel in this convention and celebrate this historic nomination. I would like to thank the incredible workers of this year's convention, the convention staff led by the amazing alex and our convention -- my amazing staff at the d&c. You quite literally set the stage roused today and we would not be here without all of you. We hereby call the in person portion of the 49th quadrennial Democratic national convention to order.",249,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Cardinal Blase Cupich,Democratic,2024,1,00:06:01,"Let us pray -- we praise you oh God of all creation. Quicken in us a resolve to protect your handiwork. You are the source of every blessing that graces our lives and our nation. We pray that you help us to truly understand and answer the sacred call of citizenship. We are a nation composed of every people and culture, united, not by ties of blood, but by the profound aspirations of life and freedom, justice and unbound hope. These aspirations are why our forebears saw America as a beacon of hope. And with your steady guidance, lord, may we remain so today. In every generation we are called to renew these aspirations, to re-weave the fabric of America. We do so when we live out the virtues that dwell in our hearts but also when we confront our failures to root out ongoing injustices in our national life especially those created by moral blindness and fear of the other. We pray for peace, especially for a people suffering the senselessness of war. But as we pray we must also act for building up the common good takes work. It takes love. And so we pray, may our nation become more fully a builder of peas in our wounded world with the courage to imagine and pursue a loving future together. And may we as individual Americans become more fully the instrument of God's peace. Guide us, lord in taking up our responsibility to forge this new chapter of our nations history. Let it be rooted in the recognition that for us, as for every generation, unity triumphing over division is what advances human dignity and liberty. Let it be propelled by the women and men elected to serve in public life who know that service is the mark of true leadership. And let this new chapter of our nations history be filled with overwhelming hope, a hope that refuses to narrow our national vision but rather, as Pope Francis has said, to dream dreams and see visions of what, by your grace, our world can become. We ask all of this, trusting in your ever provident care for us, amen.",362,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Zach Pahmahmie,Democratic,2024,1,00:09:45,"Here we are together on our ancestral homelands. We also honor the spirit of the other tribal nations that traveled westward to this beautiful area. Well come, 2024 Democratic national convention, to our homelands. This land has and always will carry in Norma's importance to its original stewards, our ancestors and our present-day communities. I am vice Chairman Of the prairie band pottawatomie nation and I'm joined by the secretary. And our nations tribal council is also with us in the audience. From time in memorial our ancestors lived in the great lakes region however, in 1849 and in legal auction by The U.s. Government forcibly removed our tribe from our homeland. Since then we have been working to reclaim it. Finally, this year, the department of the interior placed some of our ancestral lands west of Chicago into a trust. Thanks to the resolve of our tribal community and the Biden-Harris administration, we reclaimed a piece of our home. We became the only federally recognized tribal nation in Illinois in 175 years. Together, in our homelands, let's have a joyful and historic convention. Blessings to you all. Be rich.",190,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Brandon Johnson,Democratic,2024,1,00:16:39,"Welcome to the greatest city in the world, Chicago! Where Ida B. Wells and James Adams organized to deliver real transformative change across this country. Chicago where Reverend Jesse Jackson united people from all different backgrounds to keep hope alive. And to a community organizer on the south side of Chicago, Barack Obama rose to The White House reminding us that yes, we can. And now Chicago, this city of hard work and caring people is where Democrats will celebrate President Joe Biden and nominate Kamala Harris for President Of The United States of America. As the son of a family that worked to make ends meet, I know that Kamala Harris, the daughter of a mom who worked hard every single day. She is going to look out for the interests of everyday people. I know, that as a fellow former social studies history that Governor Tim Walz will not retreat from standing up for our democracy and for those most in need. And as a black man, raising a little black girl on the west side of Chicago, I know that my daughter braden will see not only a reflection of herself in The White House but she will experience the deepest part of American values. Think about it -- what will it take to build the middle class and make it easier for families, not only to get by, but to get ahead? It will take someone with toughness to stand up for us and let me tell you, America, Kamala's has got it. What will it take to defend our fundamental rights and our freedom? It will take someone with leadership who will fight for us and let me tell you, America, leadership -- Kamala, she has got it! And what will it take to defeat MAGA Republicans and move our country forward and not awkward? It will--and not backward? It will take everyone and let me tell you all, Kamala --she has got us! From Mississippi to Pennsylvania, from Delaware, Kamala Harris, she has got us. From Michigan to Wisconsin to Nevada to California and right here in Illinois, Kamala Harris, she has got us! From the childcare workers, Kamala Harris, she has us. And to make sure that this country ensures that families will have access to real, affordable housing to create a pathway to the American dream -- Kamala Harris, she has got us. Together we can build a better, brighter future and there is no better place to start that then right here in the greatest freaking city of the world, the city of Chicago. God bless you all. Thank you.",439,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Jaime Harrison,Democratic,2024,1,00:22:44,"Hello, my friends! My fellow Democrats, I started my journey to this stage in 1988. I was 12 years old, and my family was watching The Democratic National Convention. Now, to be honest, I wanted to watch something else. But we all knew when my grandfather sat in his chair, the TV was his. But folks, when Reverend Jesse Jackson came on, I paid attention. A black man from South Carolina raised by a single mother, that was me. And as long as I live, I will never forget what he said. He challenged young people to hope and to dream. So that is exactly what I did. I dreamed big. I worked hard. And I never lost hope. When our power was cut off. When there was nothing in the fridge. When we lost our home to a con man, I never lost hope. And now, my friends, I am standing on the same convention stage that inspired me and I am the chair of The Democratic Party, the world's oldest political party. Folks, only in America! And that is the beautiful thing about this country that I love so much. Hope and hard work can take you anywhere. You can go to college. You can start your own business. You can even win the olympics. That is the America Democrats believe in and that is the America that Democrats are fighting for. So, four years ago, my friends, we were a country divided by fear. And we were stuck under a man who preached bigotry and hatred. Hope was lost. But, my friends, we found hope in President Biden and Vice President Harris and the 80 million Americans who stood by their side. And now we are united. We are united in our pursuit of progress because, my friends, they saw us. They fought for us. They heard us. And under their transformational leadership, we have forgiven millions in student loans, we have expanded access to health care and we have strengthened the middle class. But the fight continues. And there is still more work to do. And I know that when we Elect Kamala Harris and Tim Walz, they will build on our accomplishments and they will create a country that works for every American. They will invest in our dreams and our futures and hope will light our path forward. They will lead us in the fight for America and believe me, when we fight, we win! And folks, we can never forget who we are fighting for. This election is about Americans who are watching right now wondering, who is going to finally pave that dirt road? Or make it easier to feed their family or get medical bills under control? This election is about those who believe anybody can achieve their dreams if they work hard and trust in the endless possibilities of America. This election is about communities who need to see that hope and joy will always overcome fear and chaos. This election is about every little boy inspired by a party chair that looks like him and every little girl who will finally see a President Who looks like her. My friends, we are paving a path for them, working toward a brighter future for them, and we need each and every one of you to join us. In my beloved home state of South Carolina, our motto is ""while I breathe, I hope."" folks, I believe in the power of hope, but it will take more than hope to win this election. In the next 78 days, our motto can't be just ""while I breathe, I hope."" it must be ""while I breathe, I vote."" because that is how we make hope real for all of America. America, let's vote for Democrats up and down the ticket, let's save our democracy, and let's vote for our m.v.p. Kamala Harris, and our coach Tim Walz. Thank you all so much for being here. And now, it is indeed my pleasure to introduce our next speaker who will be co-chair for tonight. This is a young woman who is the current Lieutenant Governor Of the great state of Minnesota. And when Tim Walz becomes Vice President, she will become the first Native American Governor In this great country. Let's welcome Peggy Flanagan.",720,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Peggy Flanagan,Democratic,2024,1,00:28:41,"Thank you. As we gather here, we remember those who came before us, who fought and prayed this moment into existence — the suffragists and abolitionists, the activists who fought for our rights, the leaders who paved the way for us all. Their courage and conviction shaped the course of history. Their memory reminds us that the fight for freedom always passes from one generation to the next. We owe it to them and to ourselves to carry their legacy forward. Tonight, we pay tribute to those who dare to dream of a country that truly stands for liberty and justice for all. Next, we will hear from one of those people, a lifelong advocate for civil rights, maxine waters.",120,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Maxine Waters,Democratic,2024,1,00:30:04,"Wow. Hello delegates. You know I've seen a lot in my lifetime. I was just 22 years old when Fannie Lou made her presence known at another Democratic convention. It was in 1964 in Atlantic City, and she arrived with a group of black delegates from Mississippi. And she simply asked that her delegates be seated in place of the states all white delegation. She told the people in the room about the violence she suffered at the hands of white police, because she, a black woman, had demanded her right to vote. When she finished, she finished, she asked the country a simple but profound question. Is this America? She didn't get the outcome she was hoping for in Atlantic City, but you can bet that Wendy Official -- when the official Mississippi delegation was seated at the convention four years later, she was sitting there. Now here we are 60 years later at another Democratic convention with Kamala Harris, Kamala Harris as our party's nominee. I know there is no better leader to march us into the future. Kamala has been a courtroom prosecutor, district attorney, attorney general, United States senator, Vice President Of the United States. And when the dust settles in november and Americans of all stripes have elected her their president, I know she will be thinking about Fannie Lou, who I happen to know is one of Kamala 's heroes. In that moment, all of us from New York, to Pennsylvania, to Arizona, to California -- we can ask ourselves is this America? And we will be able to say loudly and proudly, you're damn right it is!",274,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Derrick Johnson,Democratic,2024,1,00:33:46,"Good evening. I am Derrick Johnson, President And CEO of the naacp. And I'm here to do my black job. Since the founding of our nation, we have been on an unending march to protect this imperfect union. Tonight, we celebrate the power of the collective — of what is possible when we are all in for all people. But as we do, let us not forget the history that preceded this moment, or the history makers who prepared us for it. As we just heard, in 1964, the Mississippi freedom Democratic party, led by Fannie Lou Hamer and Mississippi Naacp state President Aaron Henry, stood and challenged a process that excluded them to ensure that we will all be recognized here tonight. In 1973, the historic elections of Atlanta's Mayor Maynard Jackson, Detroit's Mayor Coleman young, and L.a.'s Mayor Paved the way for another historic election just 10 years later right here in Chicago with the election of the first black Mayor Of the city of Chicago. And in 1988, the Reverend Jesse Jackson and his second quest for The White House inspired us all to keep hope alive. So this is important because we must all understand black history is American history. And in this historic moment, we will write the next chapter together.",216,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
Melanie Campbell,Democratic,2024,1,00:36:11,"Good evening. I am Melanie Campbell, President And CEO of the national coalition on black civic participation and national convene are of the black women's roundtable. We have come this far by faith. And for black women, this moment has been a long time coming. Vice President Kamala Harris' path to becoming the Democratic nominee for President Of The United States has been paved by the leadership, sacrifice, faith and participation of black women like Diane nash, ella baker, amelia Boynton Robinson, Barbara Jordan, Shirley Chisholm, women whose optimism about what America could be and their fight to make that vision real redefines the leadership role that black women could play in moving our nation forward. As president, Kamala Harris will lead with power, brilliance, and strength from the highest office in the land.",134,CSPAN,https://www.c-span.org/program/campaign-2024/democratic-national-convention-day-1/647458,0,0,0
