year,party,speaker,word_count,i_count,we_count,num_speeches,i_rate,we_rate,collective_gap
2004,Democratic,Adam Smith,416,14,2,1,33.65,4.81,-28.84
2004,Democratic,Al Gore,1674,36,22,1,21.51,13.14,-8.37
2004,Democratic,Al Sharpton,1809,39,52,1,21.56,28.75,7.19
2004,Democratic,Alexandra Kerry,742,9,12,1,12.13,16.17,4.04
2004,Democratic,Alice Huffman,384,4,5,1,10.42,13.02,2.6
2004,Democratic,Allyson Schwartz,386,1,8,1,2.59,20.73,18.14
2004,Democratic,Amy Klobuchar,445,3,13,1,6.74,29.21,22.47
2004,Democratic,Andre Heinz,196,4,3,1,20.41,15.31,-5.1
2004,Democratic,Angelo Kyle,347,3,3,1,8.65,8.65,0.0
2004,Democratic,Anna Burger,455,2,10,1,4.4,21.98,17.58
2004,Democratic,Antonio Villaraigosa,485,7,7,1,14.43,14.43,0.0
2004,Democratic,Ashley Bell,305,8,9,1,26.23,29.51,3.28
2004,Democratic,Barack Obama,2195,30,36,1,13.67,16.4,2.73
2004,Democratic,Barbara Boxer,480,11,11,1,22.92,22.92,0.0
2004,Democratic,Barbara Mikulski,540,7,20,1,12.96,37.04,24.08
2004,Democratic,Barney Frank,639,9,31,1,14.08,48.51,34.43
2004,Democratic,Benjamin McKenzie,374,18,4,1,48.13,10.7,-37.43
2004,Democratic,Bennie Thompson,95,0,0,1,0.0,0.0,0.0
2004,Democratic,Betsy Cavendish,334,3,2,1,8.98,5.99,-2.99
2004,Democratic,Bill Clinton,3244,36,66,1,11.1,20.35,9.25
2004,Democratic,Bill Garcia,383,3,12,1,7.83,31.33,23.5
2004,Democratic,Bill Lann Lee,422,3,16,1,7.11,37.91,30.8
2004,Democratic,Bill Pascrell,426,4,12,1,9.39,28.17,18.78
2004,Democratic,Bill Richardson,1416,12,21,2,8.47,14.83,6.36
2004,Democratic,Bob Graham,939,16,17,1,17.04,18.1,1.06
2004,Democratic,Byron Dorgan,457,2,6,1,4.38,13.13,8.75
2004,Democratic,Carl Levin,416,0,14,1,0.0,33.65,33.65
2004,Democratic,Carol Moseley Braun,1011,20,12,1,19.78,11.87,-7.91
2004,Democratic,Carolyn McCarthy,379,7,2,1,18.47,5.28,-13.19
2004,Democratic,Cate Edwards,402,9,2,1,22.39,4.98,-17.41
2004,Democratic,Chaka Fattah,387,2,7,1,5.17,18.09,12.92
2004,Democratic,Charles Rangel,688,1,36,1,1.45,52.33,50.88
2004,Democratic,Charles Schumer,501,2,17,1,3.99,33.93,29.94
2004,Democratic,Cheryl Jacques,431,4,19,1,9.28,44.08,34.8
2004,Democratic,Chris Heinz,645,16,1,1,24.81,1.55,-23.26
2004,Democratic,Christie Vilsack,981,16,16,1,16.31,16.31,0.0
2004,Democratic,Ciro Rodriguez,316,2,16,1,6.33,50.63,44.3
