alias,canonical,party,notes
# Name variants — Democratic
Biden,Joe Biden,Democratic,Last name only
Vice President Joe Biden,Joe Biden,Democratic,Title prefix
Obama,Barack Obama,Democratic,Last name only
Harris,Kamala Harris,Democratic,Last name only
Senator Kamala Harris,Kamala Harris,Democratic,Title prefix
Warren,Elizabeth Warren,Democratic,Last name only
Senator Elizabet Warren,Elizabeth Warren,Democratic,Typo in title prefix
Senator Bernie Sanders,Bernie Sanders,Democratic,Title prefix
Sanders,Bernie Sanders,Democratic,Last name only
Senator Amy Klobuchar,Amy Klobuchar,Democratic,Title prefix
Senator Cory Booker,Cory Booker,Democratic,Title prefix
Booker,Cory Booker,Democratic,Last name only
Senator Chris Coons,Chris Coons,Democratic,Title prefix
Coons,Chris Coons,Democratic,Last name only
Senator Doug Jones,Doug Jones,Democratic,Title prefix
Senator Daug Jones,Doug Jones,Democratic,Typo in title prefix
Senator Catherine Cortez Masto,Catherine Cortez Masto,Democratic,Title prefix
Senator Kirsten Gillibrand,Kirsten Gillibrand,Democratic,Title prefix
Gillibrand,Kirsten Gillibrand,Democratic,Last name only
Abrams,Stacey Abrams,Democratic,Last name only
Bowser,Muriel Bowser,Democratic,Last name only
Governor Gavin Newsom,Gavin Newsom,Democratic,Title prefix
Governor Jay Inslee,Jay Inslee,Democratic,Title prefix
Governor Christine Todd Whitman,Christine Todd Whitman,Democratic,Title prefix
Longoria,Eva Longoria,Democratic,Last name only
Washington,Kerry Washington,Democratic,Last name only
Yang,Andrew Yang,Democratic,Last name only
Kasich,John Kasich,Democratic,Last name only
Kerry,John Kerry,Democratic,Last name only
Powell,Colin Powell,Democratic,Last name only
Bloomberg,Mike Bloomberg,Democratic,Last name only
Thompson,Bennie Thompson,Democratic,Last name only
Pelosi,Nancy Pelosi,Democratic,Last name only
Schumer,Chuck Schumer,Democratic,Last name only
Klobuchar,Amy Klobuchar,Democratic,Last name only
Haaland,Deb Haaland,Democratic,Last name only
Duckworth,Tammy Duckworth,Democratic,Last name only
Baldwin,Tammy Baldwin,Democratic,Last name only
Bottoms,Keisha Lance Bottoms,Democratic,Last name only
Cortez,Alexandria Ocasio-Cortez,Democratic,Last name only
Garcetti,Eric Garcetti,Democratic,Last name only
Padilla,Alex Padilla,Democratic,Last name only
Kennedy,Caroline Kennedy,Democratic,Last name only
Clinton,Hillary Clinton,Democratic,Last name only
Schlossberg,Jack Schlossberg,Democratic,Last name only
Carter,Rosalynn Carter,Democratic,Last name only
Kenyatta,Malcolm Kenyatta,Democratic,Last name only
Lewis,John Lewis,Democratic,Last name only
Lamb,Conor Lamb,Democratic,Last name only
Dreyfus,Julia Louis-Dreyfus,Democratic,Last name only
