speaker,party,night,category,have
Minyon Moore,Democratic,1,Official,False
Peggy Flanagan,Democratic,1,Official,False
Lauren Underwood,Democratic,1,Congress,False
Robert Garcia,Democratic,1,Congress,False
Lee Saunders,Democratic,1,Labor,False
April Verrett,Democratic,1,Labor,False
Kenneth W. Cooper,Democratic,1,Labor,False
Claude Cummings Jr.,Democratic,1,Labor,False
James Clyburn,Democratic,1,Congress,False
Jamie Raskin,Democratic,1,Congress,False
Jasmine Crockett,Democratic,1,Congress,False
Grace Meng,Democratic,1,Congress,False
Amanda Zurawski,Democratic,1,Citizen,False
Josh Zurawski,Democratic,1,Citizen,False
Kaitlyn Joshua,Democratic,1,Citizen,False
Hadley Duvall,Democratic,1,Citizen,False
Andy Beshear,Democratic,1,Governor,False
Chris Coons,Democratic,1,Senator,False
Tony Goldwyn,Democratic,1,Celebrity,False
Steve Kerr,Democratic,1,Celebrity,False
Mickey Guyton,Democratic,1,Performer,False
Jason Isbell,Democratic,1,Performer,False
Maxine Waters,Democratic,1,Congress,False
Mallory McMorrow,Democratic,1,State Official,False
Ana Navarro,Democratic,2,Celebrity,False
J.B. Pritzker,Democratic,2,Governor,False
Tammy Duckworth,Democratic,2,Senator,False
Gary Peters,Democratic,2,Senator,False
Michelle Lujan Grisham,Democratic,2,Governor,False
John Giles,Democratic,2,Official,False
Malcolm Kenyatta,Democratic,2,State Official,False
Jason Carter,Democratic,2,Family,False
Jack Schlossberg,Democratic,2,Family,False
Stephanie Grisham,Democratic,2,Crossover,False
Patti LaBelle,Democratic,2,Performer,False
Common,Democratic,2,Performer,False
Angela Alsobrooks,Democratic,2,Candidate,False
Mindy Kaling,Democratic,3,Celebrity,False
Amy Klobuchar,Democratic,3,Senator,False
Catherine Cortez Masto,Democratic,3,Senator,False
Josh Shapiro,Democratic,3,Governor,False
Wes Moore,Democratic,3,Governor,False
John Legend,Democratic,3,Performer,False
Sheila E.,Democratic,3,Performer,False
